/m/047951	generally a university created or managed by a government
/m/01xhh5	people based in the Korean Peninsula and Manchuria
/m/0c4z8	American music award for excellent songwriting
/m/01xjx6	record label; imprint of N.V. Philips Phonografische Industrie
/m/0479b	Canadian actor, producer and musician
/m/01xk7r	Art school in San Francisco, California
/m/0c53vt	award ceremony presented by the Academy of Motion Picture Arts & Sciences for achievement in filmmaking in 1954
/m/047bynf	2008 film by Richard Linklater
/m/0c53zb	Academy Awards ceremonies
/m/01xl5	aircraft manufacturing subsidiary of Textron
/m/047byns	award
/m/0c55fj	high-definition television channel
/m/01xllf	American actor
/m/047c9l	American actress, singer and author
/m/0c57yj	1999 film by Lawrence Kasdan
/m/01xlqd	1978 romantic musical film directed by Randal Kleiser
/m/047cqr	American screenwriter, comic book creator
/m/0c58k	group of metabolic disorders characterized by high blood sugar levels over a prolonged period
/m/01xmxj	association football club in Yeovil, England
/m/047csmy	2009 science fiction film directed by Michael Bay
/m/0c5_3	city in the West Midlands in England, UK
/m/01xn57g	association football club in Greece
/m/047cx	British progressive rock band
/m/0c5dd	1934 film by Frank Capra
/m/01xn5th	Mexican association football club
/m/047d21r	2010 biographical sports drama film directed by David O. Russell
/m/0c5fr	European royal house of French origin
/m/047dpm0	baseball draft of amateur players by Major League Baseball
/m/01xn6jr	association football club in Turkey
/m/0c5lg	official who presides over court proceedings
/m/01xn6mc	Mexican professional football club
/m/0c5qvw	1949 American film based on Robert Penn Warren's novel directed by Robert Rossen
/m/047f9jp	India actor
/m/01xn7x1	association football club in Leeds, England
/m/047fjjr	2010 American mystery/thriller film directed by Mikael Håfström
/m/0c5tl	English novelist, poet and writer
/m/047fwlg	association football club
/m/01xpg	city-state in the Antiquity
/m/0c5v2	city in Palm Beach County, Florida, United States
/m/01xpxv	American actor (1932-2005)
/m/047g6	Austrian-British philosopher of science
/m/0c5vh	American voice actor and comedian (1908-1989)
/m/01xq0k1	most common type of large domesticated ungulate
/m/047g6m	Italian association football club
/m/0c5wln	association football club
/m/01xq8v	1992 film by Francis Ford Coppola
/m/047g8h	player in American and Canadian football who is responsible for the kicking duties of field goals and extra points
/m/0c5x_	public research university in Irvine, California, United States
/m/01xqqp	award ceremony
/m/047g98	Italian association football club
/m/0c61p	region of Italy
/m/01xqw	musical instrument
/m/047gn4y	2010 American action fantasy film
/m/0c630	city in Sicily, Italy
/m/01xr2s	American drama television series
/m/0c663	region of Italy
/m/047gpsd	2009 film by Nick Cassavetes
/m/01xr66	someone engaged or elected to speak on behalf of others
/m/047hpm	American actress
/m/0c66m	Italian city, capital of the Apulia region
/m/047jhq	Indian actress
/m/01xr6x	city in south east Wales, United Kingdom
