/m/047951	lists of universities and colleges
/m/01xhh5	ethnic group
/m/0c4z8	Grammy Award
/m/01xjx6	record label
/m/0479b	human
/m/01xk7r	university
/m/0c53vt	Academy Awards ceremony
/m/047bynf	film
/m/01xhh5	nation
/m/0c53zb	Academy Awards ceremony
/m/01xl5	aerospace manufacturer
/m/0c4z8	class of award
/m/01xllf	human
/m/01xk7r	private not-for-profit educational institution
/m/047byns	class of award
/m/047c9l	human
/m/0c57yj	film
/m/01xlqd	film
/m/047cqr	human
/m/0c55fj	television channel
/m/047csmy	film
/m/01xmxj	association football club
/m/0c5dd	film
/m/01xn5th	association football club
/m/047d21r	film
/m/01xn6jr	association football club
/m/01xn57g	association football club
/m/0c5_3	city
/m/047cx	rock group
/m/01xn6mc	association football club
/m/0c5qvw	film
/m/047f9jp	human
/m/0c5fr	dynasty
/m/047dpm0	sports season
/m/01xn7x1	association football club
/m/0c5_3	big city
/m/0c5lg	legal profession
/m/047fjjr	film
/m/0c5tl	human
/m/047fwlg	association football club
/m/0c5fr	Venetian patrician family
/m/01xpxv	human
/m/047g6	human
/m/0c5_3	unparished area
/m/0c5lg	legal position
/m/0c5vh	human
/m/01xpg	city-state
/m/0c5v2	city of the United States
/m/047g6m	association football club
/m/0c5wln	association football club
/m/0c5lg	occupation group according to ISCO
/m/01xpg	ancient city
/m/01xq0k1	organisms known by a particular common name
/m/047g98	association football club
/m/047g6m	association football team
/m/01xq8v	cult film
/m/0c5x_	public research university
/m/047g8h	American football position
/m/01xqqp	award ceremony
/m/01xpg	emporia
/m/047g98	association football team
/m/0c61p	region of Italy
/m/0c5x_	public educational institution of the United States
/m/0c663	region of Italy
/m/047gpsd	film
/m/047hpm	human
/m/047gn4y	feature film
/m/0c61p	peninsula
/m/0c630	commune of Italy
/m/0c630	city
/m/0c630	big city
/m/01xr2s	television series
/m/047jhq	human
/m/01xr6x	city
/m/01xr6x	big city
/m/01xr66	position
/m/0c61p	cultural region
/m/01xrlm	public research university
/m/047kn_	association football club
/m/0c66m	commune of Italy
/m/0c66m	city
/m/0c66m	big city
/m/0c6g1l	human
/m/01xsbh	human
/m/01xr66	profession
/m/0c6cwg	insurgency
/m/0c6g29	human
/m/01xsc9	human
/m/047m_w	television series
/m/0c6qh	human
/m/01xv77	human
/m/047msdk	film
/m/0c6vcj	Academy Awards ceremony
/m/047lj	sovereign state
/m/047myg9	film
/m/0c73g	human
/m/01xvjb	film
/m/047n8xt	film
/m/0c73z	human
/m/047p798	film
/m/01xvb	American football team
/m/0c75w	city
/m/047lj	unitary state
/m/01xwqn	human
/m/047p7fr	film
/m/01xvlc	public university
/m/01xwv7	human
/m/047q2k1	film
/m/0c7ct	human
/m/0c75w	municipality of Finland
/m/0c75w	big city
/m/01xy5l_	profession
/m/047lj	landlocked country
/m/0c7f7	commune of Italy
/m/047qxs	film
/m/01xvlc	higher education institution
/m/01xyqk	record label
/m/047rgpy	profession
/m/01xysf	public university
/m/047rkcm	film
/m/0c7hq	region of Italy
/m/047lj	transcontinental country
/m/01xyt7	human
/m/047svrl	film
/m/01xvlc	educational organization
/m/047rgpy	occupation
/m/047rgpy	position
/m/0c7lcx	human
/m/0c7g7	heritage designation
/m/01xysf	research university
/m/047lj	country
/m/0c7t58	human
/m/01xzb6	human
/m/047t_	sovereign state
/m/0c7xjb	human
/m/0c7g7	heritage register
/m/01xysf	land-grant university
/m/01xysf	public educational institution of the United States
/m/047t4gb	army
/m/01y06y	public university
/m/01xyy	island
/m/047tsx3	film
/m/047t_	island nation
/m/047t_	country
/m/0c7g7	conservation designation
/m/047vnfs	profession
/m/047vnfs	position
/m/01y06y	open-access publisher
/m/01xyy	tourist attraction
/m/01y0y6	human
/m/047vp1n	film
/m/0c7zf	capital
/m/0c7zf	city
/m/0c7zf	big city
/m/01y0s9	Christian movement
/m/0c8br	human
/m/0c82s	department of France
/m/01y06y	comprehensive university
/m/01y17m	public university
/m/01y17m	public educational institution of the United States
/m/01y17m	open-access publisher
/m/047wh1	film
/m/0c8hct	human
/m/0c7zf	million city
/m/0c8qq	film
/m/047yc	country
/m/047yc	sovereign state
/m/047yc	sovereign state
/m/0484q	human
/m/0c8tk	city
/m/0c8tk	big city
/m/0c8tk	million city
/m/01y20v	liberal arts college
/m/0c8tkt	film
/m/0c8tkt	cult film
/m/047xyn	lifetime achievement award
/m/01y28x	order of chivalry
/m/01y2mq	music genre
/m/0c8tk	municipal corporation in India
/m/01y3c	American football team
/m/01y20v	Colleges That Change Lives
/m/01y20v	private not-for-profit educational institution
/m/0487_	American football team
